order_id,customer_id,order_ts,status,amount,currency
1001,1,2026-01-04T09:12:00,COMPLETED,120.50,USD
1002,2,2026-01-04T11:45:00,COMPLETED,89.99,USD
1003,1,2026-01-05T14:03:00,CANCELLED,45.00,USD
1004,3,2026-01-06T08:30:00,COMPLETED,250.00,USD
1005,2,2026-01-07T19:20:00,PENDING,15.75,USD
1006,4,2026-01-08T10:00:00,COMPLETED,499.99,USD
1007,3,2026-01-09T16:44:00,COMPLETED,32.20,USD
1008,1,2026-01-10T12:15:00,COMPLETED,78.00,USD
1009,5,2026-01-11T07:05:00,REFUNDED,60.00,USD
1010,4,2026-01-12T21:30:00,COMPLETED,145.60,USD
